2012/03/18;1;3;Jenson Button;McLaren-Mercedes;58;1:34:09.565;2;25;
2012/03/18;2;1;Sebastian Vettel;Red Bull Racing-Renault;58;+2.1 secs;6;18;
2012/03/18;3;4;Lewis Hamilton;McLaren-Mercedes;58;+4.0 secs;1;15;
2012/03/18;4;2;Mark Webber;Red Bull Racing-Renault;58;+4.5 secs;5;12;
2012/03/18;5;5;Fernando Alonso;Ferrari;58;+21.5 secs;12;10;
2012/03/18;6;14;Kamui Kobayashi;Sauber-Ferrari;58;+36.7 secs;13;8;
2012/03/18;7;9;Kimi Raikkonen;Lotus-Renault;58;+38.0 secs;17;6;
2012/03/18;8;15;Sergio Perez;Sauber-Ferrari;58;+39.4 secs;22;4;
2012/03/18;9;16;Daniel Ricciardo;STR-Ferrari;58;+39.5 secs;10;2;
2012/03/18;10;11;Paul di Resta;Force India-Mercedes;58;+39.7 secs;15;1;
2012/03/18;11;17;Jean-Eric Vergne;STR-Ferrari;58;+39.8 secs;11;0;
2012/03/18;12;8;Nico Rosberg;Mercedes;58;+57.6 secs;7;0;
2012/03/18;13;18;Pastor Maldonado;Williams-Renault;57;Accident;8;0;
2012/03/18;14;24;Timo Glock;Marussia-Cosworth;57;+1 Lap;20;0;
2012/03/18;15;25;Charles Pic;Marussia-Cosworth;53;Oil pressure;21;0;
2012/03/18;16;19;Bruno Senna;Williams-Renault;52;Accident damage;14;0;
2012/03/18;Ret;6;Felipe Massa;Ferrari;46;Accident damage;16;0;
2012/03/18;Ret;20;Heikki Kovalainen;Caterham-Renault;38;Suspension;18;0;
2012/03/18;Ret;21;Vitaly Petrov;Caterham-Renault;34;Steering;19;0;
2012/03/18;Ret;7;Michael Schumacher;Mercedes;10;Gearbox;4;0;
2012/03/18;Ret;10;Romain Grosjean;Lotus-Renault;1;Accident;3;0;
2012/03/18;Ret;12;Nico Hulkenberg;Force India-Mercedes;0;Accident damage;9;0;
2012/03/18;DNQ;22;Pedro de la Rosa;HRT-Cosworth;0;0;0;0;
2012/03/18;DNQ;23;Narain Karthikeyan;HRT-Cosworth;0;0;0;0;
2012/03/25;1;5;Fernando Alonso;Ferrari;56;2:44:51.812;8;25;
2012/03/25;2;15;Sergio Perez;Sauber-Ferrari;56;+2.2 secs;9;18;
2012/03/25;3;4;Lewis Hamilton;McLaren-Mercedes;56;+14.5 secs;1;15;
